Metric,Time,Value
Lag_Input_Topic,1734580242.728,0
Lag_Input_Topic,1734580243.728,0
Lag_Input_Topic,1734580244.728,0
Lag_Input_Topic,1734580246.728,0
Lag_Input_Topic,1734580247.728,15
Lag_Input_Topic,1734580249.728,29
Lag_Input_Topic,1734580251.728,36
Lag_Input_Topic,1734580253.728,49
Lag_Input_Topic,1734580255.728,70
Lag_Input_Topic,1734580257.728,77
Lag_Input_Topic,1734580259.728,91
Lag_Input_Topic,1734580261.728,105
Lag_Input_Topic,1734580263.728,119
Lag_Input_Topic,1734580265.728,15762
Lag_Input_Topic,1734580267.728,24470
Lag_Input_Topic,1734580269.728,33579
Lag_Input_Topic,1734580271.728,15079
Lag_Input_Topic,1734580273.728,10466
Lag_Input_Topic,1734580275.728,5908
Lag_Input_Topic,1734580277.728,6
Lag_Input_Topic,1734580279.728,13
Lag_Input_Topic,1734580280.728,27
Lag_Input_Topic,1734580283.728,0
Lag_Input_Topic,1734580285.728,14
Lag_Input_Topic,1734580288.728,0
Lag_Input_Topic,1734580290.728,13
Lag_Input_Topic,1734580292.728,28
Lag_Input_Topic,1734580293.728,6
Lag_Input_Topic,1734580295.728,14
Lag_Input_Topic,1734580297.728,27
Lag_Input_Topic,1734580298.728,6
Lag_Input_Topic,1734580299.728,13
Lag_Input_Topic,1734580301.728,20
Lag_Input_Topic,1734580302.728,34
Lag_Input_Topic,1734580303.728,6
Lag_Input_Topic,1734580304.728,13
Lag_Input_Topic,1734580305.728,20
Lag_Input_Topic,1734580306.728,27
Lag_Input_Topic,1734580307.728,34
Lag_Input_Topic,1734580308.728,6
Lag_Input_Topic,1734580309.728,13
Lag_Input_Topic,1734580310.728,20
Lag_Input_Topic,1734580311.728,27
Lag_Input_Topic,1734580312.728,34
Lag_Input_Topic,1734580313.728,6
Lag_Input_Topic,1734580314.728,13
Lag_Input_Topic,1734580315.728,20
Lag_Input_Topic,1734580316.728,27
Lag_Input_Topic,1734580317.728,34
Lag_Input_Topic,1734580318.728,6
Lag_Input_Topic,1734580319.728,13
Lag_Input_Topic,1734580320.728,20
Lag_Input_Topic,1734580321.728,27
Lag_Input_Topic,1734580322.728,34
Lag_Input_Topic,1734580323.728,6
Lag_Input_Topic,1734580324.728,13
Lag_Input_Topic,1734580325.728,20
Lag_Input_Topic,1734580326.728,27
Lag_Input_Topic,1734580327.728,31
Lag_Input_Topic,1734580328.728,12
Lag_Input_Topic,1734580329.728,18
Lag_Input_Topic,1734580330.728,25
Lag_Input_Topic,1734580331.728,7
Lag_Input_Topic,1734580332.728,11
Lag_Input_Topic,1734580333.728,17
Lag_Input_Topic,1734580334.728,25
Lag_Input_Topic,1734580335.728,0
Lag_Input_Topic,1734580336.728,4
Lag_Input_Topic,1734580337.728,11
Lag_Input_Topic,1734580338.728,18
Lag_Input_Topic,1734580339.728,28
Lag_Input_Topic,1734580340.728,0
Lag_Input_Topic,1734580341.728,4
Lag_Input_Topic,1734580342.728,9
Lag_Input_Topic,1734580343.728,20
Lag_Input_Topic,1734580344.728,21
Lag_Input_Topic,1734580345.728,7
