Metric,Time,Value
Lag_Input_Topic,1734660277.682,56
Lag_Input_Topic,1734660278.682,64
Lag_Input_Topic,1734660280.682,76
Lag_Input_Topic,1734660282.682,86
Lag_Input_Topic,1734660283.682,105
Lag_Input_Topic,1734660284.682,112
Lag_Input_Topic,1734660285.682,119
Lag_Input_Topic,1734660287.682,126
Lag_Input_Topic,1734660288.682,140
Lag_Input_Topic,1734660290.682,143
Lag_Input_Topic,1734660291.682,160
Lag_Input_Topic,1734660292.682,164
Lag_Input_Topic,1734660293.682,175
Lag_Input_Topic,1734660294.682,182
Lag_Input_Topic,1734660295.682,188
Lag_Input_Topic,1734660296.682,196
Lag_Input_Topic,1734660297.682,203
Lag_Input_Topic,1734660298.682,210
Lag_Input_Topic,1734660299.682,213
Lag_Input_Topic,1734660300.682,224
Lag_Input_Topic,1734660301.682,231
Lag_Input_Topic,1734660302.682,236
Lag_Input_Topic,1734660303.682,244
Lag_Input_Topic,1734660304.682,252
Lag_Input_Topic,1734660306.682,259
Lag_Input_Topic,1734660307.682,266
Lag_Input_Topic,1734660309.682,276
Lag_Input_Topic,1734660311.682,294
Lag_Input_Topic,1734660313.682,301
Lag_Input_Topic,1734660314.682,0
Lag_Input_Topic,1734660315.682,14
Lag_Input_Topic,1734660316.682,14
Lag_Input_Topic,1734660317.682,21
Lag_Input_Topic,1734660318.682,28
Lag_Input_Topic,1734660319.682,0
Lag_Input_Topic,1734660320.682,7
Lag_Input_Topic,1734660321.682,14
Lag_Input_Topic,1734660322.682,21
Lag_Input_Topic,1734660323.682,28
Lag_Input_Topic,1734660324.682,0
Lag_Input_Topic,1734660325.682,7
Lag_Input_Topic,1734660326.682,14
Lag_Input_Topic,1734660327.682,21
Lag_Input_Topic,1734660328.682,28
Lag_Input_Topic,1734660329.682,0
Lag_Input_Topic,1734660330.682,7
Lag_Input_Topic,1734660331.682,14
Lag_Input_Topic,1734660332.682,21
Lag_Input_Topic,1734660333.682,28
Lag_Input_Topic,1734660334.682,0
Lag_Input_Topic,1734660335.682,7
Lag_Input_Topic,1734660336.682,14
Lag_Input_Topic,1734660337.682,21
Lag_Input_Topic,1734660338.682,28
Lag_Input_Topic,1734660339.682,0
Lag_Input_Topic,1734660340.682,7
Lag_Input_Topic,1734660341.682,14
Lag_Input_Topic,1734660342.682,21
Lag_Input_Topic,1734660343.682,28
Lag_Input_Topic,1734660344.682,0
Lag_Input_Topic,1734660345.682,7
Lag_Input_Topic,1734660346.682,14
Lag_Input_Topic,1734660347.682,21
Lag_Input_Topic,1734660348.682,28
Lag_Input_Topic,1734660349.682,0
Lag_Input_Topic,1734660350.682,7
Lag_Input_Topic,1734660351.682,14
Lag_Input_Topic,1734660352.682,21
Lag_Input_Topic,1734660353.682,28
Lag_Input_Topic,1734660354.682,0
Lag_Input_Topic,1734660355.682,7
Lag_Input_Topic,1734660356.682,14
Lag_Input_Topic,1734660357.682,21
